douyin,kuaishou,wechat,sales
23.01,3.78,6.92,66.3
4.45,3.93,4.51,31.2
1.72,4.59,6.93,36
15.15,4.13,5.85,49.5
18.08,1.08,5.84,53.7
0.87,4.89,7.5,21.6
5.75,3.28,2.35,35.4
12.02,1.96,1.16,39.6
0.86,0.21,0.1,14.4
19.98,0.26,2.12,46.8
6.61,0.58,2.42,37.8
21.47,2.4,0.4,52.2
2.38,3.51,6.59,27.6
9.75,0.76,0.72,41.1
20.41,3.29,4.6,57
19.54,4.77,5.29,67.2
6.78,3.66,11.4,37.5
28.14,3.96,5.58,73.2
6.92,2.05,1.83,33.9
14.73,2.39,1.91,43.8
21.84,2.77,5.34,54
23.74,0.51,2.35,52.5
1.32,1.59,4.96,16.8
22.83,1.69,2.62,61.5
6.23,1.26,1.83,29.1
26.29,0.35,1.95,51
14.29,2.93,1.26,45
24.01,1.67,2.29,62.7
24.88,2.71,2.29,56.7
7.06,1.6,4.08,31.5
29.29,2.83,4.32,64.2
11.29,1.74,3.86,35.7
9.72,0.15,3,39.6
26.56,2,0.03,52.2
9.57,0.14,0.74,35.7
29.07,0.41,0.85,53.4
26.69,4.38,0.5,76.2
7.47,4.94,4.57,44.1
4.31,2.67,3.51,30.3
22.8,3.77,3.2,64.5
20.25,2.23,3.16,49.8
17.7,3.34,3.87,51.3
29.36,2.77,0.18,62.1
20.69,0.84,2.64,53.7
2.51,2.57,4.33,25.5
17.51,2.25,3.15,48.3
8.97,0.99,3.57,31.8
23.99,4.15,1.85,69.6
22.72,1.58,4.99,59.4
6.69,1.17,3.68,29.1
19.98,0.31,3.46,49.2
10.04,0.96,0.36,32.1
21.64,4.17,3.96,67.8
18.26,4.62,5.87,63.6
26.27,2.88,1.59,60.6
19.89,4.94,6,71.1
0.73,2.81,4.14,16.5
13.62,1.92,1.66,39.6
21.08,4.96,3.77,71.4
21.07,2.95,0.93,55.2
5.35,0.2,2.14,24.3
26.13,4.27,5.47,72.6
23.93,1.55,2.73,62.1
10.27,2.96,0.84,42
13.11,4.28,2.89,48
6.9,0.93,0.09,33.9
3.15,2.46,0.22,33
13.93,1.45,1.02,40.2
23.74,2.75,1.1,56.7
21.68,4.39,2.72,66.9
19.91,3.06,3.87,54.9
10.98,1.43,3.17,37.2
2.68,3.3,1.93,26.4
12.94,0.57,3.13,33
21.34,2.46,1.31,51
1.69,4.37,8.94,26.1
2.75,0.16,2.07,20.7
12.05,2.85,1.42,42.6
0.54,2.99,0.94,15.9
11.6,0.77,2.31,33
7.64,2.67,2.23,35.4
23.98,0.41,3.69,51.9
7.53,2.03,3.25,33.9
6.84,4.45,3.56,40.8
21.35,4.3,3.38,65.1
19.32,1.84,6.57,60.6
7.63,2.75,1.6,36
11.07,4.06,6.32,48
8.83,2.55,7.34,38.7
10.98,4.78,5.14,50.1
13.43,0.49,0.93,42
2.86,0.15,3.3,21.9
21.77,3.35,5.9,58.2
25.09,3.65,7.23,66.6
10.74,1.4,1.09,34.5
16.33,3.16,5.29,50.7
19.76,0.35,0.59,50.1
18.49,2.1,2.2,61.5
28.97,4.23,5.12,76.2
13.52,4.17,4.59,51.6
22.24,0.43,4.98,50.1
29.64,3.63,10.09,71.4
28.02,1.01,2.14,59.4
18.79,1.72,1.79,59.1
23.82,3.43,0.53,62.1
13.79,4.64,5.9,45
2.5,1.1,2.97,21.6
9.04,0.03,2.32,36
1.31,0.04,2.56,15.9
25.54,2.69,0.55,59.4
22.58,0.82,5.65,55.2
24.17,3.8,2.32,65.4
17.57,1.54,0.24,51.3
20.96,2.06,1.07,62.7
7.82,4.68,3.45,43.8
7.51,3.5,5.27,37.8
13.92,1.43,2.56,36.6
7.64,0.08,1.48,28.2
12.57,3.69,7.92,47.7
1.94,1.6,2.23,19.8
14.13,2.68,4.62,46.5
1.88,2.17,5.04,21
22.4,0.24,1.56,49.8
12.31,3.46,1.24,45.6
22.95,3.23,7.42,59.1
8.72,1.18,2.59,31.8
0.78,3.89,5.06,19.8
8.02,0,0.92,35.7
22.03,4.9,0.32,74.1
5.96,1.2,4.31,29.1
0.07,3.96,0.87,4.8
26.52,0.29,4.3,53.1
0.84,2.72,0.21,17.1
21.98,3.35,4.51,58.8
3.69,3.86,6.56,32.4
4.83,4.7,0.85,34.8
2.56,3.9,0.93,28.5
27.37,2.89,5.97,62.4
4.3,2.59,2.05,28.8
18.49,4.39,0.17,62.1
7.34,1.7,1.29,32.7
19.37,3.54,7.56,57.6
22.05,3.32,3.79,60.3
10.46,0.57,3.44,31.2
9.62,1.48,3.89,36.9
14.03,0.19,0.9,30.9
24.01,0.73,0.87,54.6
24.32,4.9,4.43,76.2
3.8,4.03,1.19,32.7
4.47,2.58,2.06,30.3
28.07,1.39,3.7,48.3
12.1,0.84,4.87,34.8
19.76,2.33,1.42,49.8
17.13,3.97,3.77,48
18.78,2.11,0.95,61.8
0.41,1.16,0.57,9.6
9.39,4.35,5.05,45.9
14.98,0.13,2.43,30.3
1.17,3.69,4.52,21.9
13.17,1.84,3.46,38.7
17.25,1.81,3.07,49.2
8.57,3.58,4.93,39.9
18.84,1.81,2.56,59.7
16.35,3.68,0.74,54
11.72,1.47,0.54,35.7
23.45,0.34,8.48,50.7
1.79,3.76,2.16,24
20.68,0.52,1.94,51.6
21.54,2.36,5.76,51.3
28.43,1.06,0.64,60
5,1.16,1.84,25.2
16.45,2.09,4.74,52.5
1.96,2.01,1.7,22.8
16.84,0.71,1.28,50.1
22.24,0.34,1.31,49.5
27.69,4.89,4.18,81
24.84,3.02,2.03,60.6
17.02,0.78,3.52,50.1
27.67,0.23,2.37,50.4
16.56,1,1.76,52.8
15.66,0.26,0.83,46.5
21.85,0.54,2.74,51.6
5.62,0.57,2.97,26.1
28.76,4.3,7.18,78.6
25.38,2.13,3,52.8
20.5,4.51,1.96,67.8
13.95,0.21,2.66,30.9
19.11,2.87,1.82,51.9
28.6,1.39,0.37,62.7
1.87,1.21,2.34,20.1
3.95,4.11,0.58,32.4
7.55,1.08,0.6,35.7
1.72,0.41,3.16,17.7
16.68,4.2,0.36,58.8
14.97,3.56,0.6,51.9
3.82,0.37,1.38,22.8
9.42,0.49,0.81,42
17.7,0.93,0.64,44.4
28.36,4.2,6.62,76.5
23.21,0.86,0.87,55.2
